Program,Year,County,Commodity,Value(acres)
CENSUS,2022,BEAUFORT,AG LAND,"12,910"
CENSUS,2022,BEAUFORT,AG LAND,"77,825"
CENSUS,2022,BEAUFORT,AG LAND,"24,614"
CENSUS,2022,CARTERET,AG LAND, (D)
CENSUS,2022,CARTERET,AG LAND,"4,321"
CENSUS,2022,CARTERET,AG LAND, (D)
CENSUS,2022,CRAVEN,AG LAND,"12,365"
CENSUS,2022,CRAVEN,AG LAND,"34,856"
CENSUS,2022,CRAVEN,AG LAND,"9,214"
CENSUS,2022,GREENE,AG LAND,"5,122"
CENSUS,2022,GREENE,AG LAND,"68,407"
CENSUS,2022,GREENE,AG LAND,"7,939"
CENSUS,2022,HYDE,AG LAND,"7,586"
CENSUS,2022,HYDE,AG LAND,"78,725"
CENSUS,2022,HYDE,AG LAND,"1,738"
CENSUS,2022,JOHNSTON,AG LAND,"11,282"
CENSUS,2022,JOHNSTON,AG LAND,"85,901"
CENSUS,2022,JOHNSTON,AG LAND,"6,390"
CENSUS,2022,JONES,AG LAND,"2,173"
CENSUS,2022,JONES,AG LAND,"42,181"
CENSUS,2022,JONES,AG LAND,"2,525"
CENSUS,2022,LENOIR,AG LAND,"6,696"
CENSUS,2022,LENOIR,AG LAND,"75,338"
CENSUS,2022,LENOIR,AG LAND,"13,404"
CENSUS,2022,PAMLICO,AG LAND,"2,902"
CENSUS,2022,PAMLICO,AG LAND,"31,670"
CENSUS,2022,PAMLICO,AG LAND,"3,773"
CENSUS,2022,PITT,AG LAND,"4,975"
CENSUS,2022,PITT,AG LAND,"106,932"
CENSUS,2022,PITT,AG LAND,"6,044"
CENSUS,2022,WAYNE,AG LAND,"7,805"
CENSUS,2022,WAYNE,AG LAND,"90,391"
CENSUS,2022,WAYNE,AG LAND,"9,503"
CENSUS,2022,WILSON,AG LAND,"14,804"
CENSUS,2022,WILSON,AG LAND,"73,098"
CENSUS,2022,WILSON,AG LAND,"13,993"
CENSUS,2022,ALEXANDER,AG LAND,"4,494"
CENSUS,2022,ALEXANDER,AG LAND,"12,197"
CENSUS,2022,ALEXANDER,AG LAND,310
CENSUS,2022,CATAWBA,AG LAND,"5,059"
CENSUS,2022,CATAWBA,AG LAND,"18,389"
CENSUS,2022,CATAWBA,AG LAND,"1,262"
CENSUS,2022,CHATHAM,AG LAND,"9,812"
CENSUS,2022,CHATHAM,AG LAND,"19,189"
CENSUS,2022,CHATHAM,AG LAND,548
CENSUS,2022,DAVIDSON,AG LAND,"9,874"
CENSUS,2022,DAVIDSON,AG LAND,"16,632"
CENSUS,2022,DAVIDSON,AG LAND,"1,678"
CENSUS,2022,DAVIE,AG LAND, (D)
CENSUS,2022,DAVIE,AG LAND,"24,666"
CENSUS,2022,DAVIE,AG LAND, (D)
CENSUS,2022,IREDELL,AG LAND,"8,016"
CENSUS,2022,IREDELL,AG LAND,"50,593"
CENSUS,2022,IREDELL,AG LAND,713
CENSUS,2022,LEE,AG LAND, (D)
CENSUS,2022,LEE,AG LAND,"10,614"
CENSUS,2022,LEE,AG LAND, (D)
CENSUS,2022,RANDOLPH,AG LAND,"13,029"
CENSUS,2022,RANDOLPH,AG LAND,"34,016"
CENSUS,2022,RANDOLPH,AG LAND,"1,389"
CENSUS,2022,ROWAN,AG LAND,"9,335"
CENSUS,2022,ROWAN,AG LAND,"41,009"
CENSUS,2022,ROWAN,AG LAND,"4,369"
CENSUS,2022,WAKE,AG LAND,"7,469"
CENSUS,2022,WAKE,AG LAND,"15,606"
CENSUS,2022,WAKE,AG LAND,"3,669"
CENSUS,2022,BERTIE,AG LAND,"10,652"
CENSUS,2022,BERTIE,AG LAND,"93,742"
CENSUS,2022,BERTIE,AG LAND,"14,446"
CENSUS,2022,CAMDEN,AG LAND,"3,115"
CENSUS,2022,CAMDEN,AG LAND,"23,509"
CENSUS,2022,CAMDEN,AG LAND,"26,065"
CENSUS,2022,CHOWAN,AG LAND,"2,189"
CENSUS,2022,CHOWAN,AG LAND,"54,281"
CENSUS,2022,CHOWAN,AG LAND,"3,554"
CENSUS,2022,CURRITUCK,AG LAND,"1,196"
CENSUS,2022,CURRITUCK,AG LAND,"23,014"
CENSUS,2022,CURRITUCK,AG LAND,"7,506"
CENSUS,2022,DARE,AG LAND, (D)
CENSUS,2022,DARE,AG LAND, (D)
CENSUS,2022,DARE,AG LAND, (D)
CENSUS,2022,EDGECOMBE,AG LAND,"7,414"
CENSUS,2022,EDGECOMBE,AG LAND,"84,308"
CENSUS,2022,EDGECOMBE,AG LAND,"19,553"
CENSUS,2022,GATES,AG LAND, (D)
CENSUS,2022,GATES,AG LAND,"44,578"
CENSUS,2022,GATES,AG LAND, (D)
CENSUS,2022,HALIFAX,AG LAND,"13,326"
CENSUS,2022,HALIFAX,AG LAND,"108,165"
CENSUS,2022,HALIFAX,AG LAND,"4,982"
CENSUS,2022,HERTFORD,AG LAND,"7,124"
CENSUS,2022,HERTFORD,AG LAND,"31,745"
CENSUS,2022,HERTFORD,AG LAND,"6,642"
CENSUS,2022,MARTIN,AG LAND,"7,391"
CENSUS,2022,MARTIN,AG LAND,"85,276"
CENSUS,2022,MARTIN,AG LAND,"1,972"
CENSUS,2022,NASH,AG LAND,"15,848"
CENSUS,2022,NASH,AG LAND,"48,135"
CENSUS,2022,NASH,AG LAND,"13,872"
CENSUS,2022,NORTHAMPTON,AG LAND,"9,419"
CENSUS,2022,NORTHAMPTON,AG LAND,"98,997"
CENSUS,2022,NORTHAMPTON,AG LAND,"5,719"
CENSUS,2022,PASQUOTANK,AG LAND,"1,165"
CENSUS,2022,PASQUOTANK,AG LAND,"75,234"
CENSUS,2022,PASQUOTANK,AG LAND,"11,185"
CENSUS,2022,PERQUIMANS,AG LAND,"3,539"
CENSUS,2022,PERQUIMANS,AG LAND,"63,276"
CENSUS,2022,PERQUIMANS,AG LAND,"4,928"
CENSUS,2022,TYRRELL,AG LAND,"2,061"
CENSUS,2022,TYRRELL,AG LAND,"44,654"
CENSUS,2022,TYRRELL,AG LAND,"7,451"
CENSUS,2022,WASHINGTON,AG LAND,"2,123"
CENSUS,2022,WASHINGTON,AG LAND,"51,974"
CENSUS,2022,WASHINGTON,AG LAND,"14,654"
CENSUS,2022,ALLEGHANY,AG LAND,"7,107"
CENSUS,2022,ALLEGHANY,AG LAND,"11,662"
CENSUS,2022,ALLEGHANY,AG LAND,277
CENSUS,2022,ASHE,AG LAND,"6,658"
CENSUS,2022,ASHE,AG LAND,"16,376"
CENSUS,2022,ASHE,AG LAND,"1,050"
CENSUS,2022,AVERY,AG LAND,"4,612"
CENSUS,2022,AVERY,AG LAND,"4,700"
CENSUS,2022,AVERY,AG LAND,91
CENSUS,2022,CALDWELL,AG LAND,"3,824"
CENSUS,2022,CALDWELL,AG LAND,"8,105"
CENSUS,2022,CALDWELL,AG LAND,85
CENSUS,2022,SURRY,AG LAND,"8,445"
CENSUS,2022,SURRY,AG LAND,"36,125"
CENSUS,2022,SURRY,AG LAND,965
CENSUS,2022,WATAUGA,AG LAND,"2,577"
CENSUS,2022,WATAUGA,AG LAND,"4,485"
CENSUS,2022,WATAUGA,AG LAND,623
CENSUS,2022,WILKES,AG LAND,"8,264"
CENSUS,2022,WILKES,AG LAND,"22,899"
CENSUS,2022,WILKES,AG LAND,"1,303"
CENSUS,2022,YADKIN,AG LAND,"7,348"
CENSUS,2022,YADKIN,AG LAND,"47,461"
CENSUS,2022,YADKIN,AG LAND,"2,379"
CENSUS,2022,ALAMANCE,AG LAND,"6,493"
CENSUS,2022,ALAMANCE,AG LAND,"13,312"
CENSUS,2022,ALAMANCE,AG LAND,960
CENSUS,2022,CASWELL,AG LAND,"4,514"
CENSUS,2022,CASWELL,AG LAND,"10,948"
CENSUS,2022,CASWELL,AG LAND,395
CENSUS,2022,DURHAM,AG LAND,"1,334"
CENSUS,2022,DURHAM,AG LAND,"2,663"
CENSUS,2022,DURHAM,AG LAND,305
CENSUS,2022,FORSYTH,AG LAND,"2,652"
CENSUS,2022,FORSYTH,AG LAND,"9,555"
CENSUS,2022,FORSYTH,AG LAND,433
CENSUS,2022,FRANKLIN,AG LAND,"7,107"
CENSUS,2022,FRANKLIN,AG LAND,"31,591"
CENSUS,2022,FRANKLIN,AG LAND,786
CENSUS,2022,GRANVILLE,AG LAND,"7,278"
CENSUS,2022,GRANVILLE,AG LAND,"13,981"
CENSUS,2022,GRANVILLE,AG LAND,346
CENSUS,2022,GUILFORD,AG LAND,"10,469"
CENSUS,2022,GUILFORD,AG LAND,"20,965"
CENSUS,2022,GUILFORD,AG LAND,491
CENSUS,2022,ORANGE,AG LAND,"4,625"
CENSUS,2022,ORANGE,AG LAND,"10,740"
CENSUS,2022,ORANGE,AG LAND,456
CENSUS,2022,PERSON,AG LAND, (D)
CENSUS,2022,PERSON,AG LAND,"32,506"
CENSUS,2022,PERSON,AG LAND, (D)
CENSUS,2022,ROCKINGHAM,AG LAND,"8,575"
CENSUS,2022,ROCKINGHAM,AG LAND,"22,755"
CENSUS,2022,ROCKINGHAM,AG LAND,230
CENSUS,2022,STOKES,AG LAND,"7,544"
CENSUS,2022,STOKES,AG LAND,"13,894"
CENSUS,2022,STOKES,AG LAND,369
CENSUS,2022,VANCE,AG LAND,"5,277"
CENSUS,2022,VANCE,AG LAND,"4,625"
