year,state_name,county_name,commodity_desc,statisticcat_desc,unit_desc,Value
1997,NORTH CAROLINA,ALAMANCE,BARLEY,PRODUCTION,BU,11250
1997,NORTH CAROLINA,ALAMANCE,BARLEY,PRODUCTION,BU,12400
1997,NORTH CAROLINA,ALAMANCE,CORN,PRODUCTION,BU,245033
1997,NORTH CAROLINA,ALAMANCE,CORN,PRODUCTION,TONS,24236
1997,NORTH CAROLINA,ALAMANCE,CORN,PRODUCTION,BU,275000
1997,NORTH CAROLINA,ALAMANCE,CORN,PRODUCTION,TONS,30000
1997,NORTH CAROLINA,ALAMANCE,HAY,PRODUCTION,TONS,1160
1997,NORTH CAROLINA,ALAMANCE,HAY,PRODUCTION,TONS,1508
1997,NORTH CAROLINA,ALAMANCE,HAY,PRODUCTION,TONS,21105
1997,NORTH CAROLINA,ALAMANCE,HAY,PRODUCTION,TONS,1099
1997,NORTH CAROLINA,ALAMANCE,HAY,PRODUCTION,TONS,27300
1997,NORTH CAROLINA,ALAMANCE,HAYLAGE,PRODUCTION,TONS,1863
1997,NORTH CAROLINA,ALAMANCE,OATS,PRODUCTION,BU,27900
1997,NORTH CAROLINA,ALAMANCE,OATS,PRODUCTION,BU,33000
1997,NORTH CAROLINA,ALAMANCE,SORGHUM,PRODUCTION,BU,4100
1997,NORTH CAROLINA,ALAMANCE,SORGHUM,PRODUCTION,BU,4500
1997,NORTH CAROLINA,ALAMANCE,SOYBEANS,PRODUCTION,BU,69865
1997,NORTH CAROLINA,ALAMANCE,SOYBEANS,PRODUCTION,BU,82000
1997,NORTH CAROLINA,ALAMANCE,TOBACCO,PRODUCTION,LB,6562373
1997,NORTH CAROLINA,ALAMANCE,TOBACCO,PRODUCTION,LB,6541000
1997,NORTH CAROLINA,ALAMANCE,WHEAT,PRODUCTION,BU,127892
1997,NORTH CAROLINA,ALAMANCE,WHEAT,PRODUCTION,BU,147000
1997,NORTH CAROLINA,ALAMANCE,WHEAT,PRODUCTION,BU,147000
1997,NORTH CAROLINA,ALAMANCE,WOOL,PRODUCTION,LB,244
1997,NORTH CAROLINA,ALAMANCE,WOOL,PRODUCTION,OPERATIONS,6
1997,NORTH CAROLINA,ALEXANDER,BARLEY,PRODUCTION,BU,29300
1997,NORTH CAROLINA,ALEXANDER,BARLEY,PRODUCTION,BU,42000
1997,NORTH CAROLINA,ALEXANDER,CORN,PRODUCTION,BU,77669
1997,NORTH CAROLINA,ALEXANDER,CORN,PRODUCTION,TONS,46960
1997,NORTH CAROLINA,ALEXANDER,CORN,PRODUCTION,BU,84000
1997,NORTH CAROLINA,ALEXANDER,CORN,PRODUCTION,TONS,50000
1997,NORTH CAROLINA,ALEXANDER,HAY,PRODUCTION,TONS,748
1997,NORTH CAROLINA,ALEXANDER,HAY,PRODUCTION,TONS,721
1997,NORTH CAROLINA,ALEXANDER,HAY,PRODUCTION,TONS,22604
1997,NORTH CAROLINA,ALEXANDER,HAY,PRODUCTION,TONS,751
1997,NORTH CAROLINA,ALEXANDER,HAY,PRODUCTION,TONS,28700
1997,NORTH CAROLINA,ALEXANDER,HAYLAGE,PRODUCTION,TONS,3068
1997,NORTH CAROLINA,ALEXANDER,OATS,PRODUCTION,BU,1120
1997,NORTH CAROLINA,ALEXANDER,OATS,PRODUCTION,BU,3000
1997,NORTH CAROLINA,ALEXANDER,SORGHUM,PRODUCTION,BU,5100
1997,NORTH CAROLINA,ALEXANDER,SOYBEANS,PRODUCTION,BU,27708
1997,NORTH CAROLINA,ALEXANDER,SOYBEANS,PRODUCTION,BU,30000
1997,NORTH CAROLINA,ALEXANDER,TOBACCO,PRODUCTION,LB,1705886
1997,NORTH CAROLINA,ALEXANDER,TOBACCO,PRODUCTION,LB,1633000
1997,NORTH CAROLINA,ALEXANDER,WHEAT,PRODUCTION,BU,40970
1997,NORTH CAROLINA,ALEXANDER,WHEAT,PRODUCTION,BU,40000
1997,NORTH CAROLINA,ALEXANDER,WHEAT,PRODUCTION,BU,40000
1997,NORTH CAROLINA,ALEXANDER,WOOL,PRODUCTION,LB,218
1997,NORTH CAROLINA,ALEXANDER,WOOL,PRODUCTION,OPERATIONS,4
1997,NORTH CAROLINA,ALLEGHANY,CORN,PRODUCTION,BU,17220
1997,NORTH CAROLINA,ALLEGHANY,CORN,PRODUCTION,TONS,30352
1997,NORTH CAROLINA,ALLEGHANY,CORN,PRODUCTION,BU,16000
1997,NORTH CAROLINA,ALLEGHANY,CORN,PRODUCTION,TONS,40000
1997,NORTH CAROLINA,ALLEGHANY,HAY,PRODUCTION,TONS,1271
1997,NORTH CAROLINA,ALLEGHANY,HAY,PRODUCTION,TONS,240
1997,NORTH CAROLINA,ALLEGHANY,HAY,PRODUCTION,TONS,17347
1997,NORTH CAROLINA,ALLEGHANY,HAY,PRODUCTION,TONS,1023
1997,NORTH CAROLINA,ALLEGHANY,HAY,PRODUCTION,TONS,21600
1997,NORTH CAROLINA,ALLEGHANY,HAYLAGE,PRODUCTION,TONS,1205
1997,NORTH CAROLINA,ALLEGHANY,POTATOES,PRODUCTION,CWT,1036
1997,NORTH CAROLINA,ALLEGHANY,TOBACCO,PRODUCTION,LB,680323
1997,NORTH CAROLINA,ALLEGHANY,TOBACCO,PRODUCTION,LB,613000
1997,NORTH CAROLINA,ALLEGHANY,WHEAT,PRODUCTION,BU,8000
1997,NORTH CAROLINA,ALLEGHANY,WHEAT,PRODUCTION,BU,8000
1997,NORTH CAROLINA,ALLEGHANY,WOOL,PRODUCTION,LB,3715
1997,NORTH CAROLINA,ALLEGHANY,WOOL,PRODUCTION,OPERATIONS,13
1997,NORTH CAROLINA,ANSON,BARLEY,PRODUCTION,BU,1544
1997,NORTH CAROLINA,ANSON,BARLEY,PRODUCTION,BU,1700
