Program,Year,County,Commodity,Value
SURVEY,2024,OTHER COUNTIES,CATTLE,"91,000"
SURVEY,2024,OTHER COUNTIES,CATTLE,"7,000"
SURVEY,2024,BEAUFORT,CATTLE,300
SURVEY,2024,CARTERET,CATTLE,300
SURVEY,2024,CRAVEN,CATTLE,"1,400"
SURVEY,2024,GREENE,CATTLE,"1,100"
SURVEY,2024,GREENE,CATTLE,300
SURVEY,2024,HYDE,CATTLE,200
SURVEY,2024,JOHNSTON,CATTLE,"5,700"
SURVEY,2024,JOHNSTON,CATTLE, (D)
SURVEY,2024,JONES,CATTLE, (D)
SURVEY,2024,LENOIR,CATTLE,"2,300"
SURVEY,2024,PAMLICO,CATTLE, (D)
SURVEY,2024,PITT,CATTLE,"1,900"
SURVEY,2024,PITT,CATTLE, (D)
SURVEY,2024,WAYNE,CATTLE, (D)
SURVEY,2024,WAYNE,CATTLE, (D)
SURVEY,2024,WILSON,CATTLE,"1,600"
SURVEY,2024,ALEXANDER,CATTLE,"8,500"
SURVEY,2024,ALEXANDER,CATTLE,800
SURVEY,2024,CATAWBA,CATTLE,"5,800"
SURVEY,2024,CATAWBA,CATTLE,600
SURVEY,2024,CHATHAM,CATTLE,"17,500"
SURVEY,2024,CHATHAM,CATTLE,900
SURVEY,2024,DAVIDSON,CATTLE, (D)
SURVEY,2024,DAVIDSON,CATTLE, (D)
SURVEY,2024,DAVIE,CATTLE,"4,700"
SURVEY,2024,DAVIE,CATTLE,200
SURVEY,2024,IREDELL,CATTLE,"11,200"
SURVEY,2024,IREDELL,CATTLE,"10,000"
SURVEY,2024,LEE,CATTLE,"1,400"
SURVEY,2024,RANDOLPH,CATTLE,"16,000"
SURVEY,2024,RANDOLPH,CATTLE,"8,700"
SURVEY,2024,ROWAN,CATTLE,"8,300"
SURVEY,2024,ROWAN,CATTLE,"1,200"
SURVEY,2024,WAKE,CATTLE,"1,700"
SURVEY,2024,WAKE,CATTLE,400
SURVEY,2024,BERTIE,CATTLE,200
SURVEY,2024,CAMDEN,CATTLE,100
SURVEY,2024,CHOWAN,CATTLE,300
SURVEY,2024,CURRITUCK,CATTLE, (D)
SURVEY,2024,EDGECOMBE,CATTLE, (D)
SURVEY,2024,GATES,CATTLE,700
SURVEY,2024,HALIFAX,CATTLE,"3,500"
SURVEY,2024,HERTFORD,CATTLE,100
SURVEY,2024,MARTIN,CATTLE, (D)
SURVEY,2024,NASH,CATTLE, (D)
SURVEY,2024,NASH,CATTLE, (D)
SURVEY,2024,NORTHAMPTON,CATTLE,400
SURVEY,2024,PASQUOTANK,CATTLE,200
SURVEY,2024,PERQUIMANS,CATTLE,200
SURVEY,2024,TYRRELL,CATTLE,100
SURVEY,2024,WASHINGTON,CATTLE,300
SURVEY,2024,ALLEGHANY,CATTLE,"10,300"
SURVEY,2024,ALLEGHANY,CATTLE,300
SURVEY,2024,ASHE,CATTLE,"4,600"
SURVEY,2024,ASHE,CATTLE,100
SURVEY,2024,AVERY,CATTLE,500
SURVEY,2024,AVERY,CATTLE, (D)
SURVEY,2024,CALDWELL,CATTLE, (D)
SURVEY,2024,SURRY,CATTLE,"10,400"
SURVEY,2024,SURRY,CATTLE,200
SURVEY,2024,WATAUGA,CATTLE, (D)
SURVEY,2024,WATAUGA,CATTLE, (D)
SURVEY,2024,WILKES,CATTLE,"15,500"
SURVEY,2024,WILKES,CATTLE,200
SURVEY,2024,YADKIN,CATTLE, (D)
SURVEY,2024,YADKIN,CATTLE, (D)
SURVEY,2024,ALAMANCE,CATTLE,"6,300"
SURVEY,2024,ALAMANCE,CATTLE,400
SURVEY,2024,CASWELL,CATTLE, (D)
SURVEY,2024,DURHAM,CATTLE, (D)
SURVEY,2024,DURHAM,CATTLE, (D)
SURVEY,2024,FORSYTH,CATTLE,"1,500"
SURVEY,2024,FORSYTH,CATTLE, (D)
SURVEY,2024,FRANKLIN,CATTLE,"5,700"
SURVEY,2024,FRANKLIN,CATTLE, (D)
SURVEY,2024,GRANVILLE,CATTLE,"3,700"
SURVEY,2024,GRANVILLE,CATTLE,500
SURVEY,2024,GUILFORD,CATTLE,"3,900"
SURVEY,2024,GUILFORD,CATTLE,700
SURVEY,2024,ORANGE,CATTLE,"3,500"
SURVEY,2024,ORANGE,CATTLE, (D)
SURVEY,2024,PERSON,CATTLE, (D)
SURVEY,2024,PERSON,CATTLE, (D)
SURVEY,2024,ROCKINGHAM,CATTLE, (D)
SURVEY,2024,ROCKINGHAM,CATTLE, (D)
SURVEY,2024,STOKES,CATTLE,"4,000"
SURVEY,2024,STOKES,CATTLE, (D)
SURVEY,2024,VANCE,CATTLE, (D)
SURVEY,2024,WARREN,CATTLE, (D)
SURVEY,2024,BLADEN,CATTLE, (D)
SURVEY,2024,BLADEN,CATTLE, (D)
SURVEY,2024,BRUNSWICK,CATTLE, (D)
SURVEY,2024,COLUMBUS,CATTLE, (D)
SURVEY,2024,CUMBERLAND,CATTLE, (D)
SURVEY,2024,DUPLIN,CATTLE,"12,000"
SURVEY,2024,DUPLIN,CATTLE, (D)
SURVEY,2024,HARNETT,CATTLE,"3,000"
SURVEY,2024,HARNETT,CATTLE, (D)
SURVEY,2024,HOKE,CATTLE,800
SURVEY,2024,NEW HANOVER,CATTLE, (D)
SURVEY,2024,ONSLOW,CATTLE,"1,200"
SURVEY,2024,ONSLOW,CATTLE, (D)
SURVEY,2024,PENDER,CATTLE, (D)
SURVEY,2024,PENDER,CATTLE, (D)
SURVEY,2024,ROBESON,CATTLE,"4,200"
SURVEY,2024,ROBESON,CATTLE, (D)
SURVEY,2024,SAMPSON,CATTLE, (D)
SURVEY,2024,SAMPSON,CATTLE, (D)
SURVEY,2024,SCOTLAND,CATTLE,500
SURVEY,2024,ANSON,CATTLE, (D)
SURVEY,2024,ANSON,CATTLE, (D)
SURVEY,2024,CABARRUS,CATTLE,"5,000"
SURVEY,2024,CABARRUS,CATTLE,600
SURVEY,2024,CLEVELAND,CATTLE,"10,500"
SURVEY,2024,CLEVELAND,CATTLE,600
SURVEY,2024,GASTON,CATTLE, (D)
SURVEY,2024,GASTON,CATTLE, (D)
SURVEY,2024,LINCOLN,CATTLE,"4,700"
SURVEY,2024,LINCOLN,CATTLE,"1,900"
SURVEY,2024,MECKLENBURG,CATTLE,"1,000"
SURVEY,2024,MECKLENBURG,CATTLE, (D)
SURVEY,2024,MONTGOMERY,CATTLE, (D)
SURVEY,2024,MONTGOMERY,CATTLE, (D)
SURVEY,2024,MOORE,CATTLE,"6,900"
SURVEY,2024,MOORE,CATTLE, (D)
SURVEY,2024,RICHMOND,CATTLE,"1,900"
SURVEY,2024,STANLY,CATTLE, (D)
SURVEY,2024,STANLY,CATTLE, (D)
SURVEY,2024,UNION,CATTLE,"10,500"
SURVEY,2024,UNION,CATTLE,100
SURVEY,2024,BUNCOMBE,CATTLE,"6,700"
SURVEY,2024,BUNCOMBE,CATTLE,"1,200"
SURVEY,2024,BURKE,CATTLE,"2,800"
SURVEY,2024,BURKE,CATTLE, (D)
SURVEY,2024,CHEROKEE,CATTLE, (D)
SURVEY,2024,CLAY,CATTLE,"1,600"
SURVEY,2024,GRAHAM,CATTLE,300
