year,state_name,county_name,commodity_desc,statisticcat_desc,unit_desc,Value
1996,NORTH CAROLINA,Alamance,CORN,PRODUCTION,BU,245000
1996,NORTH CAROLINA,Alamance,CORN,PRODUCTION,TONS,39700
1996,NORTH CAROLINA,Alamance,HAY,PRODUCTION,TONS,26600
1996,NORTH CAROLINA,Alamance,OATS,PRODUCTION,BU,11200
1996,NORTH CAROLINA,Alamance,POTATOES,PRODUCTION,CWT,1000
1996,NORTH CAROLINA,Alamance,SORGHUM,PRODUCTION,BU,3400
1996,NORTH CAROLINA,Alamance,SOYBEANS,PRODUCTION,BU,146000
1996,NORTH CAROLINA,Alamance,TOBACCO,PRODUCTION,LB,5411000
1996,NORTH CAROLINA,Alamance,WHEAT,PRODUCTION,BU,98000
1996,NORTH CAROLINA,Alamance,WHEAT,PRODUCTION,BU,98000
1996,NORTH CAROLINA,Alexander,BARLEY,PRODUCTION,BU,36000
1996,NORTH CAROLINA,Alexander,CORN,PRODUCTION,BU,68000
1996,NORTH CAROLINA,Alexander,CORN,PRODUCTION,TONS,26600
1996,NORTH CAROLINA,Alexander,HAY,PRODUCTION,TONS,24000
1996,NORTH CAROLINA,Alexander,OATS,PRODUCTION,BU,13000
1996,NORTH CAROLINA,Alexander,POTATOES,PRODUCTION,CWT,800
1996,NORTH CAROLINA,Alexander,SORGHUM,PRODUCTION,BU,10200
1996,NORTH CAROLINA,Alexander,SOYBEANS,PRODUCTION,BU,30000
1996,NORTH CAROLINA,Alexander,TOBACCO,PRODUCTION,LB,1372000
1996,NORTH CAROLINA,Alexander,WHEAT,PRODUCTION,BU,13000
1996,NORTH CAROLINA,Alexander,WHEAT,PRODUCTION,BU,13000
1996,NORTH CAROLINA,Alleghany,CORN,PRODUCTION,TONS,42200
1996,NORTH CAROLINA,Alleghany,HAY,PRODUCTION,TONS,24400
1996,NORTH CAROLINA,Alleghany,POTATOES,PRODUCTION,CWT,600
